method,solver_params,pp_params_str,N,T,c,expected_res,nᵣ,objective,res_budget_μ,mean_r,median_r,min_r,max_r,mean_u,median_u,min_u,max_u,mean_nₛ,median_nₛ,min_nₛ,max_nₛ,mean_nᵣ,median_nᵣ,min_nᵣ,max_nᵣ,mean_time,median_time,min_time,max_time,mean_bytes,median_bytes,min_bytes,max_bytes,n_iterations,rng,reuse_tree,exploration_constant,depth
mcts_vanilla_depth=7_exploration_constant=9.0_n_iterations=800_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 800, :rng => Xoshiro(0x6aca93dccc73e714, 0x3c38b9d88ce0a2f0, 0x28579a2beea818fe, 0xff3fa39cb98fab57), :reuse_tree => true, :exploration_constant => 9.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.08,28.0,10.0,48.0,7.77,8.0,3,12,6.77,7.0,3,11,17.5,17.5,10,23,0.14379941663,0.1421599365,0.120936554,0.189070635,833710.16,237568.0,162592,19352688,800,"Xoshiro(0x6aca93dccc73e714, 0x3c38b9d88ce0a2f0, 0x28579a2beea818fe, 0xff3fa39cb98fab57)",true,9.0,7
mcts_vanilla_depth=7_exploration_constant=9.0_n_iterations=600_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 600, :rng => Xoshiro(0xbb9e918c4a7a5ac1, 0x7a71c42d880e3f13, 0x599384e7f914863d, 0x657225f87c8f19b3), :reuse_tree => true, :exploration_constant => 9.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.74,28.0,8.0,46.0,7.89,8.0,2,12,6.82,7.0,2,11,17.5,17.5,10,23,0.10669240472000001,0.1063758665,0.090140051,0.160502599,811692.56,251968.0,159328,19538544,600,"Xoshiro(0xbb9e918c4a7a5ac1, 0x7a71c42d880e3f13, 0x599384e7f914863d, 0x657225f87c8f19b3)",true,9.0,7
mcts_vanilla_depth=7_exploration_constant=9.0_n_iterations=400_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 400, :rng => Xoshiro(0x2a2d8804a6cd2c48, 0x2010fa30a52028af, 0x1affaa732d8ed87c, 0xd23893aad5b0e2ad), :reuse_tree => true, :exploration_constant => 9.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.94,29.0,10.0,46.0,8.09,8.0,3,13,6.98,7.0,3,11,17.5,17.5,10,23,0.06996573537,0.070060187,0.05893096,0.102339611,878775.2,246352.0,162592,19957872,400,"Xoshiro(0x2a2d8804a6cd2c48, 0x2010fa30a52028af, 0x1affaa732d8ed87c, 0xd23893aad5b0e2ad)",true,9.0,7
mcts_vanilla_depth=7_exploration_constant=9.0_n_iterations=2000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 2000, :rng => Xoshiro(0xe5c5d135b1e60431, 0xa9265a6a37ebc3c9, 0x226620d1bf4130d0, 0xa8526f06a33a72c2), :reuse_tree => true, :exploration_constant => 9.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.24,28.0,10.0,48.0,7.79,7.0,3,12,6.75,6.5,3,11,17.5,17.5,10,23,0.35567592412000004,0.3546966965,0.29716378,0.424983161,1.01578912e6,246304.0,165952,20853648,2000,"Xoshiro(0xe5c5d135b1e60431, 0xa9265a6a37ebc3c9, 0x226620d1bf4130d0, 0xa8526f06a33a72c2)",true,9.0,7
mcts_vanilla_depth=7_exploration_constant=9.0_n_iterations=1500_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1500, :rng => Xoshiro(0xe837f48798d0f9d9, 0x28dfab3220c0429f, 0x8e4bfaca2e6582a1, 0xe9f402d3a5680690), :reuse_tree => true, :exploration_constant => 9.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.0,28.0,12.0,44.0,7.7,7.0,3,11,6.67,6.0,3,10,17.5,17.5,10,23,0.2692434726,0.26727719149999996,0.220485891,0.330708476,996135.28,266512.0,163552,19573200,1500,"Xoshiro(0xe837f48798d0f9d9, 0x28dfab3220c0429f, 0x8e4bfaca2e6582a1, 0xe9f402d3a5680690)",true,9.0,7
mcts_vanilla_depth=7_exploration_constant=9.0_n_iterations=1000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 1000, :rng => Xoshiro(0x451b3b1b90ed9c03, 0x1d65f37ef224a571, 0x3ed1e3e85b246f7c, 0xe19ab95d72911e6c), :reuse_tree => true, :exploration_constant => 9.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.78,29.0,8.0,44.0,7.74,8.0,2,14,6.71,7.0,2,10,17.5,17.5,10,23,0.18066928947999997,0.17986142900000002,0.151914164,0.232750151,899904.4,245632.0,162016,19911408,1000,"Xoshiro(0x451b3b1b90ed9c03, 0x1d65f37ef224a571, 0x3ed1e3e85b246f7c, 0xe19ab95d72911e6c)",true,9.0,7
mcts_vanilla_depth=7_exploration_constant=7.0_n_iterations=800_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 800, :rng => Xoshiro(0x983dff718cbfceaf, 0x11e06e215bca6255, 0x8fc6289539a7eb2f, 0x74e227dcd6512375), :reuse_tree => true, :exploration_constant => 7.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.68,28.0,10.0,44.0,7.85,8.0,3,12,6.8,7.0,3,11,17.5,17.5,10,23,0.14693826292,0.14514133950000002,0.122860397,0.194229412,834693.2,242320.0,163072,19311120,800,"Xoshiro(0x983dff718cbfceaf, 0x11e06e215bca6255, 0x8fc6289539a7eb2f, 0x74e227dcd6512375)",true,7.0,7
mcts_vanilla_depth=7_exploration_constant=7.0_n_iterations=600_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 600, :rng => Xoshiro(0xc2e76b708172e17f, 0xd0b8a7f33afe4543, 0xc23acadd1f0fca46, 0x810730416f79f85f), :reuse_tree => true, :exploration_constant => 7.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.28,28.0,6.0,42.0,7.79,8.0,2,13,6.75,7.0,2,11,17.5,17.5,10,23,0.10866442986999997,0.108139542,0.090110372,0.150667533,803558.48,237280.0,159424,19417008,600,"Xoshiro(0xc2e76b708172e17f, 0xd0b8a7f33afe4543, 0xc23acadd1f0fca46, 0x810730416f79f85f)",true,7.0,7
mcts_vanilla_depth=7_exploration_constant=7.0_n_iterations=400_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 400, :rng => Xoshiro(0x90b149331cbf4d79, 0x561fcea061f0509c, 0xca3eab47d45a0717, 0xc781362be69d3b6e), :reuse_tree => true, :exploration_constant => 7.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,28.0,28.0,12.0,44.0,7.92,8.0,4,12,6.85,7.0,3,10,17.5,17.5,10,23,0.07217490136,0.070990764,0.062793697,0.121736994,666075.84,234688.0,158752,14072272,400,"Xoshiro(0x90b149331cbf4d79, 0x561fcea061f0509c, 0xca3eab47d45a0717, 0xc781362be69d3b6e)",true,7.0,7
mcts_vanilla_depth=7_exploration_constant=7.0_n_iterations=2000_reuse_tree=true,"Dict{Symbol, Any}(:n_iterations => 2000, :rng => Xoshiro(0x4368aa2c4b562b3f, 0x1d5608acc36b869a, 0x0184dce05485778b, 0x924324f94c389e4a), :reuse_tree => true, :exploration_constant => 7.0, :depth => 7)","Dict{Symbol, Any}(:T => 42, :c => 3, :res_budget_μ => 4.0, :nᵣ => 6, :expected_res => 12)",100,42,3,12,6,PMDPs.Revenue(),4.0,29.24,29.0,12.0,44.0,7.9,8.0,3,12,6.87,7.0,3,11,17.5,17.5,10,23,0.35490682914,0.353443437,0.298409922,0.416528871,1.02978112e6,265456.0,162880,20850576,2000,"Xoshiro(0x4368aa2c4b562b3f, 0x1d5608acc36b869a, 0x0184dce05485778b, 0x924324f94c389e4a)",true,7.0,7
